sl_no,date,Name,Product_name,price
239,17-Mar-2018,JODHPUR (F & V),CAULI FLOWER  - गोभी , 1305.00 / QUINTA
240,17-Mar-2018,JODHPUR (F & V),CHILLY  - चिल्ली , 920.00 / QUINTA
241,17-Mar-2018,JODHPUR (F & V),CUCUMBER(L)  - खीरा (L) , 1260.00 / QUINTA
242,17-Mar-2018,JODHPUR (F & V),GARLIC  - लहसुन , 2125.00 / QUINTA
243,17-Mar-2018,JODHPUR (F & V),GINGER  - अदरक , 1232.00 / QUINTA
244,17-Mar-2018,JODHPUR (F & V),GREEN PEAS  - हरी मटर , 4600.00 / QUINTA
245,17-Mar-2018,JODHPUR (F & V),LEMON  - नींबू , 1365.00 / QUINTA
246,17-Mar-2018,JODHPUR (F & V),MINT  - पुदीना , 425.00 / QUINTA
247,17-Mar-2018,JODHPUR (F & V),MOSAMBI  - मौसंबी , 1840.00 / QUINTA
248,17-Mar-2018,JODHPUR (F & V),OKRA (LADY FINGER)  - भिन्डी , 1305.00 / QUINTA
249,17-Mar-2018,JODHPUR (F & V),ONION  - प्याज , 1320.00 / QUINTA
250,17-Mar-2018,JODHPUR (F & V),ORANGE  - नारंगी , 1245.00 / QUINTA
,,,,
251,17-Mar-2018,JODHPUR (F & V),PAPAYA  - पपीता , 1291.00 / QUINTA
252,17-Mar-2018,JODHPUR (F & V),PINE APPLE  - अनानास , 1204.00 / QUINTA
253,17-Mar-2018,JODHPUR (F & V),POME GRANATE  - अनार , 1760.00 / QUINTA
254,17-Mar-2018,JODHPUR (F & V),POTATO  - आलू , 210.00 / QUINTA
255,17-Mar-2018,JODHPUR (F & V),RADDISH  - मूली , 637.00 / QUINTA
256,17-Mar-2018,JODHPUR (F & V),SAPOTA  - चीकू , 1104.00 / QUINTA
,,,,
257,17-Mar-2018,JODHPUR (F & V),TINDA  - टिंडा , 890.00 / QUINTA
258,17-Mar-2018,JODHPUR (F & V),TOMATO  - टमाटर , 1350.00 / QUINTA
259,17-Mar-2018,JODHPUR (GRAIN),GARLIC  - लहसुन , 1911.00 / QUINTA
260,17-Mar-2018,JODHPUR (GRAIN),GOWAR  - ग्वार , 2861.00 / QUINTA
261,17-Mar-2018,JODHPUR (GRAIN),GRAM  - चना , 4133.00 / QUINTA
262,17-Mar-2018,JODHPUR (GRAIN),GROUNDNUT (WHITE)  - मूंगफली (सफेद) , 2924.00 / QUINTA
263,17-Mar-2018,JODHPUR (GRAIN),MOONG (LOCAL)  - मूंग (स्थानीय) , 3403.00 / QUINTA
264,17-Mar-2018,JODHPUR (GRAIN),MOTH  - मोठ , 2715.00 / QUINTA
